ID;ModifyDate;ComputerName;Name;Vendor;Version;Decomissioned
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2012 Transact-SQL ScriptDom ;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.1.2731.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft .NET Framework 4 Extended;Microsoft Corporation;4.0.30319;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;Microsoft Corporation;9.0.30729.4148;0
;2017-03-27 10:41;S1WEBDB-P;Sql Server Customer Experience Improvement Program;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Silverlight;Microsoft Corporation;5.1.20513.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft .NET Framework 4 Client Profile;Microsoft Corporation;4.0.30319;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2012 Transact-SQL Compiler Service ;Microsoft Corporation;11.1.3128.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2012 RsFx Driver;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Report Viewer 2012 Runtime;Microsoft Corporation;11.0.2100.60;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2012 Setup (English);Microsoft Corporation;11.1.3128.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft VSS Writer for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
