ID;date;ComputerName;Name;Vendor;Version;Decomissioned
;;S-K1CRM-DB-S;SQL Server 2012 Data quality service;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server Browser for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft Dynamics CRM 2013 Reporting Extensions;Microsoft Corporation;6.0.0000.0302;0
;;S-K1CRM-DB-S;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1CRM-DB-S;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1CRM-DB-S;SQL Server 2012 Data quality service;Microsoft Corporation;11.0.2100.60;0
;;S-K1CRM-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.1.3412.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Visual Studio 2010 Prerequisites - English;Microsoft Corporation;10.0.40219;0
;;S-K1CRM-DB-S;Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1CRM-DB-S;Microsoft Visual Studio 2010 Shell (Isolated) - ENU;Microsoft Corporation;10.0.40219;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2008 R2 Management Objects;Microsoft Corporation;10.51.2500.0;0
;;S-K1CRM-DB-S;ApicaAgent;Apica;1.0.0;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2012 Setup (English);Microsoft Corporation;11.1.3412.0;0
;;S-K1CRM-DB-S;Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161;Microsoft Corporation;9.0.30729.6161;0
;;S-K1CRM-DB-S;Microsoft System CLR Types for SQL Server 2012 (x64);Microsoft Corporation;11.1.3412.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft .NET Framework 4 Multi-Targeting Pack;Microsoft Corporation;4.0.30319;0
;;S-K1CRM-DB-S;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Reporting Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft Visual Studio Tools for Applications x64 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;;S-K1CRM-DB-S;SQL Server 2012 Reporting Services;Microsoft Corporation;11.0.2100.60;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2012 Transact-SQL Compiler Service ;Microsoft Corporation;11.1.3412.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Full text search;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2012 Transact-SQL ScriptDom ;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.1.2731.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;Microsoft Corporation;9.0.30729.4148;0
;;S-K1CRM-DB-S;Sql Server Customer Experience Improvement Program;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2012 RsFx Driver;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft Report Viewer 2012 Runtime;Microsoft Corporation;11.0.2100.60;0
;;S-K1CRM-DB-S;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft VSS Writer for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 SQL Data Quality Common;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;;S1DW-DB-S;Microsoft Access database engine 2010 (English);Microsoft Corporation;14.0.7015.1000;0
;;S1DW-DB-S;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;;S1DW-DB-S;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;;S1DW-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Policies ;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;SQL Server 2012 Data quality service;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server Browser for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;HP ProLiant iLO Core Driver (X64);Hewlett-Packard Company;3.4.0.0;0
;;S1DW-DB-S;Microsoft .NET Framework 4.5 Multi-Targeting Pack;Microsoft Corporation;4.5.50710;0
;;S1DW-DB-S;Windows Software Development Kit Redistributables;Microsoft Corporation;8.59.29750;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Management Objects ;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;WPT Redistributables;Microsoft;8.59.29750;0
;;S1DW-DB-S;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S1DW-DB-S;Configuration Manager Client;Microsoft Corporation;5.00.7958.1000;0
;;S1DW-DB-S;Microsoft Visual C++ 2005 Redistributable (x64);Microsoft Corporation;8.0.61000;0
;;S1DW-DB-S;SQL Server 2012 BI Development Studio;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S1DW-DB-S;SQL Server 2012 Data quality service;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Visual Studio Tools for Applications Design-Time 3.0;Microsoft Corporation;10.0.40220;0
;;S1DW-DB-S;SnapDrive;NetApp.Inc.;7.1.4.6845;0
;;S1DW-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;NetApp Windows Host Utilities;NetApp. Inc.;6.0.4424.1239;0
;;S1DW-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
